timestamp,step
2026-04-27 02:12:26,1000
2026-04-27 02:16:16,2000
2026-04-27 02:19:59,3000
2026-04-27 02:23:51,4000
2026-04-27 02:27:44,5000
2026-04-27 02:31:39,6000
2026-04-27 02:35:33,7000
2026-04-27 02:39:28,8000
2026-04-27 02:43:24,9000
2026-04-27 02:47:18,10000
